date|status|DOD|dateb_20190821
2019-04-11|dead|2019-04-11|pre
2019-04-10|dead|2019-04-10|pre
2019-04-09|dead|2019-04-09|pre
2019-04-09|dead|2019-04-09|pre
2019-04-09|dead|2019-04-09|pre
2019-04-09|dead|2019-04-09|pre
2019-04-08|dead|2019-04-08|pre
2019-04-08|dead|2019-04-08|pre
2019-04-07|dead|2019-04-07|pre
2019-04-07|dead|2019-04-07|pre
2019-04-06|dead|2019-04-06|pre
2019-04-06|dead|2019-04-06|pre
2019-04-06|dead|2019-04-06|pre
2019-04-06|dead|2019-04-06|pre
2019-04-05|dead|2019-04-05|pre
2019-04-04|dead|2019-04-04|pre
2019-04-04|dead|2019-04-04|pre
2019-04-03|dead|2019-04-03|pre
2019-04-03|dead|2019-04-03|pre
2019-04-03|dead|2019-04-03|pre
2019-04-02|dead|2019-04-02|pre
2019-04-02|dead|2019-04-02|pre
2019-04-01|dead|2019-04-01|pre
2019-04-01|dead|2019-04-01|pre
2019-04-01|dead|2019-04-01|pre
2019-03-30|dead|2019-03-30|pre
2019-03-29|dead|2019-03-29|pre
2019-03-29|dead|2019-03-29|pre
2019-03-29|dead|2019-03-29|pre
2019-03-28|dead|2019-03-28|pre
2019-03-27|dead|2019-03-27|pre
2019-03-27|dead|2019-03-27|pre
2019-03-27|dead|2019-03-27|pre
2019-03-26|dead|2019-03-26|pre
2019-03-26|dead|2019-03-26|pre
2019-03-26|dead|2019-03-26|pre
2019-03-25|dead|2019-03-25|pre
2019-03-25|dead|2019-03-25|pre
2019-03-24|dead|2019-03-24|pre
2019-03-24|dead|2019-03-24|pre
2019-03-24|dead|2019-03-24|pre
2019-03-24|dead|2019-03-24|pre
2019-03-23|dead|2019-03-23|pre
2019-03-23|dead|2019-03-23|pre
2019-03-22|dead|2019-03-22|pre
2019-03-22|dead|2019-03-22|pre
2019-03-22|dead|2019-03-22|pre
2019-03-21|dead|2019-03-21|pre
2019-03-21|dead|2019-03-21|pre
2019-03-20|dead|2019-03-20|pre
2019-03-19|dead|2019-03-19|pre
2019-03-19|dead|2019-03-19|pre
2019-03-19|dead|2019-03-19|pre
2019-03-18|dead|2019-03-18|pre
2019-03-18|dead|2019-03-18|pre
2019-03-15|dead|2019-03-15|pre
2019-03-15|dead|2019-03-15|pre
2019-03-15|dead|2019-03-15|pre
2019-03-15|dead|2019-03-15|pre
2019-03-14|dead|2019-03-14|pre
2019-03-14|dead|2019-03-14|pre
2019-03-14|dead|2019-03-14|pre
2019-03-13|dead|2019-03-13|pre
2019-03-13|dead|2019-03-13|pre
2019-03-12|dead|2019-03-12|pre
2019-03-12|dead|2019-03-12|pre
2019-03-12|dead|2019-03-12|pre
2019-03-12|dead|2019-03-12|pre
2019-03-12|dead|2019-03-12|pre
2019-03-11|dead|2019-03-11|pre
2019-03-11|dead|2019-03-11|pre
2019-03-10|dead|2019-03-10|pre
2019-03-09|dead|2019-03-09|pre
2019-03-08|dead|2019-03-08|pre
2019-03-08|dead|2019-03-08|pre
2019-03-06|dead|2019-03-06|pre
2019-03-05|dead|2019-03-05|pre
2019-03-04|dead|2019-03-04|pre
2019-03-03|dead|2019-03-03|pre
2019-03-02|dead|2019-03-02|pre
2019-03-02|dead|2019-03-02|pre
2019-03-01|dead|2019-03-01|pre
2019-03-01|dead|2019-03-01|pre
2019-02-28|dead|2019-02-28|pre
2019-02-28|dead|2019-02-28|pre
2019-02-28|dead|2019-02-28|pre
2019-02-27|dead|2019-02-27|pre
2019-02-27|dead|2019-02-27|pre
2019-02-27|dead|2019-02-27|pre
2019-02-27|dead|2019-02-27|pre
2019-02-26|dead|2019-02-26|pre
2019-02-26|dead|2019-02-26|pre
2019-02-26|dead|2019-02-26|pre
2019-02-25|dead|2019-02-25|pre
2019-02-25|dead|2019-02-25|pre
2019-02-25|dead|2019-02-25|pre
2019-02-25|dead|2019-02-25|pre
2019-02-25|dead|2019-02-25|pre
2019-02-24|dead|2019-02-24|pre
2019-02-24|dead|2019-02-24|pre
2019-02-24|dead|2019-02-24|pre
2019-02-23|dead|2019-02-23|pre
2019-02-23|dead|2019-02-23|pre
2019-02-22|dead|2019-02-22|pre
2019-02-22|dead|2019-02-22|pre
2019-02-21|dead|2019-02-21|pre
2019-02-21|dead|2019-02-21|pre
2019-02-20|dead|2019-02-20|pre
2019-02-20|dead|2019-02-20|pre
2019-02-19|dead|2019-02-19|pre
2019-02-18|dead|2019-02-18|pre
2019-02-18|dead|2019-02-18|pre
2019-02-17|dead|2019-02-17|pre
2019-02-16|dead|2019-02-16|pre
2019-02-16|dead|2019-02-16|pre
2019-02-15|dead|2019-02-15|pre
2019-02-14|dead|2019-02-14|pre
2019-02-14|dead|2019-02-14|pre
2019-02-13|dead|2019-02-13|pre
2019-02-12|dead|2019-02-12|pre
2019-02-12|dead|2019-02-12|pre
2019-02-12|dead|2019-02-12|pre
2019-02-12|dead|2019-02-12|pre
2019-02-11|dead|2019-02-11|pre
2019-02-10|dead|2019-02-10|pre
2019-02-10|dead|2019-02-10|pre
2019-02-07|dead|2019-02-07|pre
2019-02-06|dead|2019-02-06|pre
2019-02-05|dead|2019-02-05|pre
2019-02-05|dead|2019-02-05|pre
2019-02-05|dead|2019-02-05|pre
2019-02-03|dead|2019-02-03|pre
2019-02-03|dead|2019-02-03|pre
2019-02-02|dead|2019-02-02|pre
2019-02-02|dead|2019-02-02|pre
2019-02-01|dead|2019-02-01|pre
2019-02-01|dead|2019-02-01|pre
2019-01-31|dead|2019-01-31|pre
2019-01-31|dead|2019-01-31|pre
2019-01-31|dead|2019-01-31|pre
2019-01-30|dead|2019-01-30|pre
2019-01-30|dead|2019-01-30|pre
2019-01-29|dead|2019-01-29|pre
2019-01-28|dead|2019-01-28|pre
