Date|Status
2019-05-10|dead
2019-05-10|Not_dead
2019-05-09|Not_dead
2019-05-09|dead
2019-05-09|dead
2019-05-09|dead
2019-05-09|dead
2019-05-09|dead
2019-05-08|Not_dead
2019-05-08|Not_dead
2019-05-08|dead
2019-05-08|dead
2019-05-07|dead
2019-05-07|dead
2019-05-07|dead
2019-05-07|Not_dead
2019-05-07|dead
2019-05-06|dead
2019-05-06|dead
2019-05-06|Not_dead
2019-05-06|dead
2019-05-05|Not_dead
2019-05-05|Not_dead
2019-05-04|dead
2019-05-04|dead
2019-05-04|dead
2019-05-04|Not_dead
2019-05-04|dead
2019-05-03|dead
2019-05-01|Not_dead
2019-05-01|Not_dead
2019-05-01|dead
2019-04-30|dead
2019-04-30|dead
2019-04-30|Not_dead
2019-04-30|dead
2019-04-30|Not_dead
2019-04-29|dead
2019-04-29|dead
2019-04-29|dead
2019-04-29|dead
2019-04-29|Not_dead
2019-04-28|dead
2019-04-28|Not_dead
2019-04-28|Not_dead
2019-04-27|dead
2019-04-27|Not_dead
2019-04-27|dead
2019-04-27|dead
2019-04-27|dead
2019-04-26|Not_dead
2019-04-26|Not_dead
2019-04-26|Not_dead
2019-04-25|dead
2019-04-25|dead
2019-04-24|dead
2019-04-24|Not_dead
2019-04-24|dead
2019-04-23|Not_dead
2019-04-23|dead
2019-04-23|Not_dead
2019-04-22|dead
2019-04-22|dead
2019-04-22|dead
2019-04-21|dead
2019-04-21|dead
2019-04-21|dead
2019-04-20|dead
2019-04-20|Not_dead
2019-04-19|dead
2019-04-19|dead
2019-04-19|dead
2019-04-18|dead
2019-04-18|dead
2019-04-18|dead
2019-04-18|Not_dead
2019-04-17|dead
2019-04-17|dead
2019-04-17|dead
2019-04-17|dead
2019-04-16|dead
2019-04-16|dead
2019-04-16|dead
2019-04-16|dead
2019-04-16|dead
2019-04-15|dead
2019-04-15|Not_dead
2019-04-15|Not_dead
2019-04-15|Not_dead
2019-04-15|Not_dead
2019-04-14|Not_dead
2019-04-14|Not_dead
2019-04-13|dead
2019-04-13|dead
2019-04-12|dead
2019-04-12|dead
2019-04-12|Not_dead
2019-04-11|dead
2019-04-11|dead
2019-04-11|dead
2019-04-11|dead
2019-04-11|Not_dead
2019-04-11|Not_dead
2019-04-10|Not_dead
2019-04-10|dead
2019-04-09|dead
2019-04-09|dead
2019-04-09|dead
